Прибор: ;РОСА К-2 (01); ; Интервал: ;2023-02-09 00:00:00; / ;2023-03-09 00:00:00;
Date;weather_temp;weather_pressure;weather_humidity;soil_soilT;soil_soilH;light_lux;light_blink;color_tempCT;color_redC;color_lux;color_ir;color_greenC;color_clearC;color_blueC;
2023-02-21 16:15:20;23.85;731.33;30.32;-2.63;17596;0;0;6440.76;9659;846.49;2668;11055;33516;12802;
2023-02-21 16:16:17;23.7;731.35;28.56;-2.75;17593;0;0;6401.78;9852;861.11;2710;11213;34021;12957;
2023-02-21 16:17:15;23.53;731.35;27.46;-2.75;17605;0;0;6392.69;9860;861.72;2693;11211;34015;12944;
2023-02-21 16:18:12;23.34;731.35;27.65;-2.94;17586;0;0;6422.94;9170;805.62;2575;10492;31773;12111;
2023-02-21 16:19:09;23.19;731.39;26.7;-3.25;17590;0;0;6449.94;8923;783.61;2515;10235;31006;11848;
2023-02-21 16:20:08;23.04;731.39;27.29;-3.31;17601;0;0;6469.4;8744;768.21;2455;10052;30451;11655;
2023-02-21 16:21:05;22.94;731.42;27.8;-3.25;17605;0;0;6493.63;8586;753.62;2433;9889;29973;11499;
2023-02-21 16:22:03;22.78;731.48;28.3;-3.5;17590;0;0;5662.68;13039;1186.62;2357;14088;41745;14619;
2023-02-21 16:23:00;22.7;731.47;28.84;-3.63;17603;0;0;5626.86;13241;1213.87;2232;14321;42282;14721;
2023-02-21 16:23:58;22.65;731.47;29.49;-3.63;17583;0;0;5618.84;13167;1211.94;2178;14267;42044;14611;
2023-02-21 16:24:55;22.6;731.51;29.74;-3.81;17589;0;0;5616.11;12978;1196.43;2165;14073;41442;14392;
2023-02-21 16:25:53;22.54;731.5;30.19;-3.75;17598;0;0;5615.24;12803;1181.45;2126;13891;40889;14195;
2023-02-21 16:26:50;22.52;731.5;30.25;-4;17605;0;0;5607.06;12723;1174.69;2116;13797;40598;14079;
2023-02-21 16:27:48;22.49;731.51;30.73;-4.06;17587;0;0;5601.38;12599;1164.1;2107;13661;40182;13923;
2023-02-21 16:28:45;22.46;731.53;30.89;-4.06;17593;0;0;5596.98;12460;1151.65;2065;13507;39721;13755;
2023-02-21 16:29:43;22.47;731.54;31.51;-4;17591;0;0;5600.87;12234;1131.96;2008;13277;39029;13518;
2023-02-21 16:30:40;22.38;731.55;31.33;-4.25;17589;0;0;5599.1;12097;1119.94;1973;13131;38588;13361;
2023-02-21 16:31:38;22.37;731.57;32.19;-4.19;17604;0;0;5587.55;12015;1112.12;1962;13024;38272;13234;
2023-02-21 16:32:35;22.33;731.57;32.12;-4.38;17601;0;0;5594.88;11830;1096.31;1918;12844;37727;13053;
2023-02-21 16:33:33;22.34;731.59;32.71;-4.38;17597;0;0;5587.61;11747;1088.88;1894;12746;37432;12939;
2023-02-21 16:34:30;22.33;731.59;32.96;-4.5;17594;0;0;5582.85;11614;1077.03;1861;12599;36991;12778;
2023-02-21 16:35:28;22.26;731.6;33.19;-4.38;17587;0;0;5577.66;11511;1067.82;1835;12483;36643;12649;
2023-02-21 16:36:25;22.27;731.6;33.09;-4.44;17604;0;0;5561.77;11469;1063.27;1831;12411;36434;12555;
2023-02-21 16:37:23;22.23;731.63;33.63;-4.69;17597;0;0;5562.27;11295;1048.61;1786;12235;35895;12366;
2023-02-21 16:38:20;22.24;731.67;33.97;-4.5;17593;0;0;5556.68;11194;1039.95;1757;12124;35556;12239;
2023-02-21 16:39:18;22.2;731.68;34.11;-4.69;17601;0;0;5554.07;11050;1027.25;1720;11970;35093;12074;
2023-02-21 16:40:15;22.14;731.67;34.43;-4.63;17588;0;0;5548.44;10922;1015.96;1694;11829;34668;11918;
2023-02-21 16:41:13;22.12;731.69;34.43;-5;17599;0;0;5537.5;10847;1008.99;1676;11734;34385;11805;
2023-02-21 16:42:10;22.16;731.72;34.85;-5.19;17598;0;0;5527.01;10740;999.02;1643;11605;34004;11659;
2023-02-21 16:43:08;22.14;731.73;34.76;-5.13;17583;0;0;5517.34;10647;990.69;1619;11495;33673;11531;
2023-02-21 16:44:05;22.1;731.75;34.8;-5.5;17600;0;0;5508.04;10535;980.43;1586;11364;33282;11384;
2023-02-21 16:45:04;22.13;731.75;35.08;-5.38;17605;0;0;5498.94;10422;970.29;1561;11234;32892;11237;
2023-02-21 16:46:01;22.07;731.74;35.4;-5.56;17596;0;0;5492.06;10315;961.17;1521;11117;32534;11103;
2023-02-21 16:46:59;22.13;731.77;35.56;-5.69;17581;0;0;5483.79;10199;950.84;1498;10986;32141;10956;
2023-02-21 16:47:56;22.09;731.78;35.45;-5.44;17593;0;0;5481.5;10065;939.24;1447;10846;31717;10806;
2023-02-21 16:48:54;22.14;731.81;35.82;-5.63;17596;0;0;5466.11;9988;931.79;1439;10743;31413;10683;
2023-02-21 16:49:51;22.12;731.79;35.95;-5.56;17593;0;0;5448.85;9961;929.02;1445;10692;31262;10609;
2023-02-21 16:50:49;22.14;731.83;36.13;-5.38;17600;0;0;5448.12;9790;914.14;1394;10516;30730;10425;
2023-02-21 16:51:46;22.12;731.81;36.27;-5.5;17587;0;0;5450.04;9623;899.97;1332;10350;30224;10252;
2023-02-21 16:52:44;22.12;731.84;36.29;-5.63;17581;0;0;5438.03;9548;893.34;1306;10259;29949;10142;
2023-02-21 16:53:41;22.09;731.83;36.36;-5.69;17597;0;0;5419.86;9505;889.1;1296;10191;29747;10051;
2023-02-21 16:54:38;22.11;731.84;36.34;-6.19;17599;0;0;5412.51;9403;881.26;1255;10087;29415;9925;
2023-02-21 16:55:36;22.04;731.86;36.33;-6.38;17590;0;0;5410.34;9264;869.18;1212;9943;28979;9773;
2023-02-21 16:56:33;22.03;731.87;36.55;-6.31;17598;0;0;5385.77;9238;866.15;1222;9884;28808;9686;
2023-02-21 16:57:31;22.07;731.89;36.98;-6.38;17582;0;0;5396.18;9038;850.69;1125;9707;28246;9501;
2023-02-21 16:58:29;22.07;731.89;37.05;-6.5;17598;0;0;5376.17;8983;844.38;1131;9618;27997;9396;
2023-02-21 16:59:26;22.03;731.93;37.12;-6.31;17603;0;0;5340.4;8992;843.68;1158;9578;27890;9321;
2023-02-21 17:00:23;21.99;731.92;37.27;-6.38;17582;0;0;5327.37;8894;834.98;1140;9464;27547;9189;
2023-02-21 17:01:21;22.04;731.94;37.46;-6.5;17580;0;0;5318.44;8759;822.79;1102;9315;27102;9029;
2023-02-21 17:02:18;21.99;732;37.94;-6.44;17590;0;0;5310.84;8637;812.77;1052;9189;26711;8886;
2023-02-21 17:03:16;21.97;732.01;37.84;-6.69;17590;0;0;5300.2;8526;802.79;1019;9064;26337;8748;
2023-02-21 17:04:13;21.98;732.02;37.8;-6.5;17590;0;0;5309.04;8358;790.51;901;8922;25874;8595;
2023-02-21 17:05:11;21.98;732.02;37.9;-6.5;17594;0;0;5270.91;8338;785.76;970;8841;25669;8491;
2023-02-21 17:06:08;21.96;732.02;37.75;-6.63;17590;0;0;5267.06;8190;773.41;921;8693;25215;8332;
